Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
09.07.2017-12:00,3.1,58,1007.3,742.8,20.9,45,4239.8333
09.07.2017-13:00,4.2,46,1007.3,650.8,19.8,43,6148.1666
09.07.2017-14:00,4.7,29,1007.3,514.3,20.7,46,6520.1668
09.07.2017-15:00,5.7,39,1007,472,20.3,46,6366
09.07.2017-16:00,6.7,19,1007.2,356.4,19.4,49,3291
09.07.2017-17:00,7,6,1007.7,266,18.6,52,1195.1667
09.07.2017-18:00,6,10,1007.6,172.2,17.8,53,1801.4999
09.07.2017-19:00,5.2,0,1007.5,100.7,17.5,53,2053.3333
09.07.2017-20:00,5.3,0,1007.7,56.1,17.1,59,674.3334
09.07.2017-21:00,4.5,0,1007.9,26.1,16.7,61,394.1667
09.07.2017-22:00,4.2,0,1008.1,-3.5,15.9,78,56.6667
09.07.2017-23:00,3.4,0,1008.1,-6.2,15.4,82,0
10.07.2017-00:00,2.7,0,1008.1,-6.3,15,84,0
10.07.2017-01:00,2.6,0,1007.9,-6.8,14.6,88,0
10.07.2017-02:00,3.2,0,1008,-6.2,14.8,83,0
10.07.2017-03:00,1.9,0,1007.9,-7.6,14,89,0
10.07.2017-04:00,1.9,0,1007.8,-6,14,84,0
10.07.2017-05:00,2.8,0,1007.7,0.4,14.4,84,0
10.07.2017-06:00,2.3,0,1007.8,13.6,14.4,87,99.3333
10.07.2017-07:00,2.7,0,1008.1,17,14.3,88,254.0001
10.07.2017-08:00,2.7,0,1008.3,45.5,14.6,83,443.3333
10.07.2017-09:00,2.7,0,1008.4,65.9,14.7,81,728.5
10.07.2017-10:00,2.7,0,1008.4,118,15.3,80,1139
10.07.2017-11:00,2.9,0,1008.4,181,15.6,80,896.8333
10.07.2017-12:00,3.5,0,1008.2,210.6,16.8,74,1278.3333
10.07.2017-13:00,4.4,0,1008.2,110.8,15.8,86,1300.4999
10.07.2017-14:00,3.7,0,1008.3,115.2,15.8,87,844.6666
10.07.2017-15:00,3.9,0,1008.2,119.4,14.9,95,1319.6667
10.07.2017-16:00,3.6,0,1008.1,38.6,14.8,99,1638.5
10.07.2017-17:00,2.7,0,1007.8,33.8,14.6,100,811.5001
10.07.2017-18:00,3.9,0,1007.6,11.9,14.7,100,333.1667
10.07.2017-19:00,3.8,0,1007.4,6.7,14.8,98,248.6667
10.07.2017-20:00,2.9,0,1007.3,9.3,14.8,99,264.3333
10.07.2017-21:00,3.2,0,1007.4,-2.3,14.5,100,46
10.07.2017-22:00,2.7,0,1007,-4.8,14.3,100,0
10.07.2017-23:00,3.2,0,1006.8,-4.6,14.3,98,0
11.07.2017-00:00,2.9,0,1006.5,-5.5,14.2,97,0
11.07.2017-01:00,2.3,0,1006.1,-5.5,14.1,96,0
11.07.2017-02:00,2,0,1005.8,-6,14.1,96,0
11.07.2017-03:00,2.8,0,1005.4,-5.8,14.1,96,0
11.07.2017-04:00,2.8,0,1005.1,-4.6,14.1,97,0
11.07.2017-05:00,2.7,0,1004.9,0,14,99,0
11.07.2017-06:00,3,0,1004.7,16.7,14,100,62.6667
11.07.2017-07:00,3,0,1004.6,8.1,14,100,107.3333
11.07.2017-08:00,3.1,0,1004.5,14.9,13.9,100,222
11.07.2017-09:00,3.2,0,1004.5,36.1,14.2,99,360.3333
11.07.2017-10:00,4,0,1004.5,208.5,15.3,92,578.3334
11.07.2017-11:00,3.5,4,1004.2,261.1,15.1,93,456.5
11.07.2017-12:00,2.7,0,1003.8,145.6,16,87,1441.1666
11.07.2017-13:00,3.6,0,1003.5,229.9,16.6,82,1546.1666
11.07.2017-14:00,2.7,0,1003.2,156.6,16.2,87,713.5
11.07.2017-15:00,3.7,0,1003.3,195.2,16.6,85,2276.1666
11.07.2017-16:00,1.1,0,1003,111.5,16.7,88,1528.6667
11.07.2017-17:00,3.7,0,1002.4,108,17,76,1618.5
11.07.2017-18:00,3.5,0,1002,100.8,17.2,74,2785.1666
11.07.2017-19:00,2.9,0,1001.8,70.2,16.9,75,1975.5
11.07.2017-20:00,3.8,0,1001.4,46.6,16.6,81,1124.9999
11.07.2017-21:00,2.9,0,1001.3,15.6,16,87,325.3333
11.07.2017-22:00,3.6,0,1001,-4.3,15.5,91,105.3333
11.07.2017-23:00,3,0,1000.6,-6,15.3,93,0
12.07.2017-00:00,2.5,0,1000.1,-6,15.2,95,0
12.07.2017-01:00,4.4,0,999.8,-6,15,96,0
12.07.2017-02:00,3.2,0,999.8,-6.1,14.5,96,0
12.07.2017-03:00,2.2,0,999.5,-6.6,13.8,98,0
12.07.2017-04:00,1.9,0,999.5,-3,13.1,96,0
12.07.2017-05:00,1.3,13,999.5,34.6,13.4,85,0
12.07.2017-06:00,1.6,47,999.8,167.7,13.9,73,0
12.07.2017-07:00,2.4,1,1000.3,126.2,13.1,77,585.8333
12.07.2017-08:00,2.4,0,1001.1,167.6,13.7,71,1090.5
12.07.2017-09:00,3.9,0,1001.8,177.1,13.4,67,959.5
12.07.2017-10:00,4,0,1002.3,200.4,14.2,63,865.1667
12.07.2017-11:00,5,0,1002.7,351.6,14.8,57,1289.9999
12.07.2017-12:00,3.6,0,1003,286.4,15.1,56,1706.8332
12.07.2017-13:00,4.3,1,1003.1,333.6,15.9,54,2253
12.07.2017-14:00,4.7,20,1003.5,469.7,16.9,50,2482.9999
12.07.2017-15:00,4.2,8,1004.1,260.4,15.4,60,2211.8334
12.07.2017-16:00,4.6,37,1004.3,465.6,16.9,47,2529.8333
12.07.2017-17:00,5.9,21,1005,290.2,15,59,3376.3333
12.07.2017-18:00,2.7,32,1005.5,322.3,15.3,55,2711.3333
12.07.2017-19:00,5.5,12,1006.2,112.7,15,56,1513
12.07.2017-20:00,3.5,25,1006.9,105.8,13.6,62,228.1668
12.07.2017-21:00,7,0,1008.2,12.9,11.5,73,133.1666
12.07.2017-22:00,0.3,0,1008.2,-4.2,10.5,81,33.5
12.07.2017-23:00,1.7,0,1008.8,-8,9.5,87,0
13.07.2017-00:00,2.5,0,1009.5,-8.3,9.1,87,0
13.07.2017-01:00,1.9,0,1010.1,-8.4,8.7,86,0
13.07.2017-02:00,2.1,0,1010.5,-8,8.2,88,0
13.07.2017-03:00,2.4,0,1011.1,-7.2,7.8,90,0
13.07.2017-04:00,1.9,0,1011.3,-0.7,7.2,91,0
13.07.2017-05:00,1,16,1011.7,34,8.5,87,0
13.07.2017-06:00,0.8,60,1011.8,170.6,11.4,74,0
13.07.2017-07:00,1.8,60,1011.8,298.5,14.2,56,67.6666
13.07.2017-08:00,1.7,60,1011.9,432.9,15.8,50,268.8333
13.07.2017-09:00,3.2,60,1012,560.8,17.2,43,1278.8333
13.07.2017-10:00,1.7,60,1011.9,673.7,18.9,45,3089
13.07.2017-11:00,2.5,54,1011.7,751.8,19.6,39,4812.6666
13.07.2017-12:00,2.3,36,1011.3,629.5,19.8,40,4771.8335
13.07.2017-13:00,1.5,21,1011.5,461,17,47,2673.3333
13.07.2017-14:00,2.2,3,1011.2,258.9,18.4,41,5672.3334
13.07.2017-15:00,2.5,0,1010.9,173.4,18.5,38,4292.1668
13.07.2017-16:00,1.6,5,1010.8,171.5,18.2,48,2612.5
13.07.2017-17:00,1.6,13,1010.7,254.9,18.3,45,2857.3333
13.07.2017-18:00,1.1,13,1010.6,191.1,18.8,41,3473.5
13.07.2017-19:00,1.6,44,1010.5,248.6,19.5,43,1107.5001
13.07.2017-20:00,1.5,29,1010.6,92,17.1,50,624.6666
13.07.2017-21:00,2.8,30,1010.6,26.5,14.7,64,363.3334
13.07.2017-22:00,2.1,0,1010.8,-3.4,13.3,69,69.3333
13.07.2017-23:00,1.4,0,1010.9,-7.8,11.6,80,0
14.07.2017-00:00,5.8,0,1010.7,-8,13.2,66,0
14.07.2017-01:00,1.8,0,1010.8,-8,12.3,67,0
14.07.2017-02:00,1.7,0,1010.9,-8.1,11.8,69,0
14.07.2017-03:00,1.8,0,1011,-8,11.1,69,0
14.07.2017-04:00,3.1,0,1011,5.1,11.5,68,0
14.07.2017-05:00,3,14,1011.3,57.2,12.2,65,0
14.07.2017-06:00,2.9,60,1011.3,170.9,12.9,61,226.6667
14.07.2017-07:00,3.7,60,1011.5,289.8,14.5,56,536
14.07.2017-08:00,4.5,60,1011.4,459.9,14.7,52,833.8334
14.07.2017-09:00,4,60,1011.2,545.2,15.6,50,1544.6667
14.07.2017-10:00,2.1,60,1011,672,17.2,46,3269.8334
14.07.2017-11:00,1.3,60,1010.6,761.9,18.8,47,4756.3334
14.07.2017-12:00,1.6,39,1010.6,632.5,18.9,44,5976.6666
14.07.2017-13:00,3.4,57,1010.5,836.4,20.6,42,6999.5
14.07.2017-14:00,2,60,1010.4,811,20.5,43,6821
14.07.2017-15:00,3.1,60,1010.3,741.5,21.1,35,6829.6668
14.07.2017-16:00,2.4,60,1010.1,640.3,20.9,36,4665.8333
14.07.2017-17:00,2.3,60,1010.1,522.7,20.9,35,3160.1668
14.07.2017-18:00,2.7,59,1010.3,393.6,20.7,35,3629.3332
14.07.2017-19:00,3.7,60,1010.6,276.1,19.8,46,3138.8333
14.07.2017-20:00,2.8,50,1011,106.8,17.5,55,1219.8333
14.07.2017-21:00,2.4,9,1011.5,19.5,16.1,59,339.8333
14.07.2017-22:00,2.3,0,1011.8,-4.1,15.8,68,14.3333
14.07.2017-23:00,1.7,0,1012.2,-7.6,14.5,79,0
15.07.2017-00:00,1.8,0,1012.4,-8.6,12.7,86,0
15.07.2017-01:00,1.8,0,1012.8,-8.4,11.9,89,0
15.07.2017-02:00,2.1,0,1012.9,-7.3,11.5,91,0
15.07.2017-03:00,1.8,0,1013.4,-6.8,11.7,90,0
15.07.2017-04:00,2.3,0,1013.6,-2.1,12.1,91,0
15.07.2017-05:00,2.1,0,1014,28.7,12.3,90,0
15.07.2017-06:00,0.9,41,1014.1,161.9,14.1,87,0
15.07.2017-07:00,0.8,58,1014.1,274.5,16.6,77,237.3333
15.07.2017-08:00,1.1,60,1014.5,410.3,18,65,1018.3333
15.07.2017-09:00,1.7,60,1014.8,538.4,18.6,52,1667.5
15.07.2017-10:00,1.6,60,1014.8,645.1,20.5,56,2499
15.07.2017-11:00,3.5,60,1014.8,732.7,20.3,55,4668.4998
15.07.2017-12:00,3.1,60,1014.5,788.4,21.7,48,5145.3334
15.07.2017-13:00,3.4,59,1014.4,777.2,22.5,45,3631.3333
15.07.2017-14:00,5.4,60,1014.4,781.8,21.7,44,3931.1668
15.07.2017-15:00,5.2,60,1014.6,718.3,22.1,47,6764
15.07.2017-16:00,5.5,60,1014.7,609.2,20.5,50,6707.3334
15.07.2017-17:00,6,60,1014.7,450.6,19.8,48,5805.8334
15.07.2017-18:00,5.7,60,1014.5,351.1,18.9,54,4302.1665
15.07.2017-19:00,4.9,45,1014.7,164.2,17.8,65,2673.6666
15.07.2017-20:00,3.8,0,1014.9,62.2,16.6,75,916
15.07.2017-21:00,3.5,0,1015.1,20.5,15.6,82,300.6667
15.07.2017-22:00,3.9,0,1014.7,-4.8,15.5,84,61.8334
15.07.2017-23:00,4,0,1014.1,-5.5,15.4,85,0
16.07.2017-00:00,5.2,0,1013.7,-5.3,15.4,86,0
16.07.2017-01:00,4.4,0,1013.5,-5.6,15.3,86,0
16.07.2017-02:00,4.8,0,1012.8,-5.5,14.9,85,0
16.07.2017-03:00,5.2,0,1012.7,-6.8,13.9,89,0
16.07.2017-04:00,3.9,0,1012.5,-4.6,12.9,97,0
16.07.2017-05:00,4,0,1011.7,-1.2,13,100,0
16.07.2017-06:00,3.8,0,1011.4,2,13.2,100,0
16.07.2017-07:00,4,0,1011,8.2,13.3,100,0
16.07.2017-08:00,3,0,1010.6,10,13.4,100,129.8333
16.07.2017-09:00,2.2,0,1009.9,19.1,13.6,100,347.6667
16.07.2017-10:00,2.2,0,1009.4,32.8,13.9,100,288
16.07.2017-11:00,3.2,0,1008.9,61.8,14.4,100,526.3333
16.07.2017-12:00,1.3,0,1008.3,203.6,16,99,549.3333
16.07.2017-13:00,1.9,26,1007.9,647.2,18.7,85,601.3333
16.07.2017-14:00,2,55,1007.2,773,20.7,68,2872.6666
16.07.2017-15:00,2.3,60,1006.7,718.8,20.8,65,5602.3333
16.07.2017-16:00,3.4,39,1006.1,482.3,20.7,67,6005
16.07.2017-17:00,4.1,39,1005.6,395.8,21,68,5038.3333
16.07.2017-18:00,7,60,1005.7,418.9,21.4,34,3784.9999
16.07.2017-19:00,6.4,60,1006.3,261.9,19.9,39,2224.4999
16.07.2017-20:00,5.3,60,1007.1,137.4,17.5,44,1477.6667
16.07.2017-21:00,3.8,43,1007.9,36.8,15.7,46,378.1667
16.07.2017-22:00,4,0,1008.4,-3.5,14.5,49,91.5
16.07.2017-23:00,3.7,0,1008.7,-7.1,13.6,53,0
17.07.2017-00:00,5.1,0,1008.7,-6.9,13.2,53,0
17.07.2017-01:00,3,0,1008.8,-7.2,12,58,0
17.07.2017-02:00,0.6,0,1009.2,-7.9,11,63,0
17.07.2017-03:00,2.1,0,1009.4,-7.6,10.3,67,0
17.07.2017-04:00,1.2,0,1009.5,-0.8,8.4,81,0
17.07.2017-05:00,1.5,0,1009.2,29.7,10.3,72,0
17.07.2017-06:00,3,9,1009.1,47.7,10.5,73,225.3333
17.07.2017-07:00,3.3,44,1009.3,229.1,13.9,61,229
17.07.2017-08:00,3.5,60,1009.4,422.6,16.1,54,464.8332
17.07.2017-09:00,3.8,52,1009.4,494.2,17.3,48,1087
17.07.2017-10:00,4,42,1009.5,457.1,17.1,45,3243.6667
17.07.2017-11:00,3.6,26,1009.3,467.1,18.9,41,4248.0001
17.07.2017-12:00,4.3,15,1009.2,446.7,18.3,46,3618.4999
17.07.2017-13:00,4.4,42,1009.2,695.3,19.8,41,3210.3333
17.07.2017-14:00,5.1,33,1009.2,564.6,19.7,40,3969.1667
17.07.2017-15:00,5.3,57,1009.2,634,20.5,36,5921.8334
17.07.2017-16:00,5.5,40,1009.1,551.2,18.8,36,6719.3334
17.07.2017-17:00,4.7,25,1009.2,335.5,19.7,37,4019.8334
17.07.2017-18:00,4.5,25,1009.2,260.6,19.7,38,2872.8333
17.07.2017-19:00,5.3,16,1009.7,164.9,18.1,38,1292.6667
17.07.2017-20:00,3.8,40,1010.3,129.9,16.7,44,543.5001
17.07.2017-21:00,3.5,21,1010.7,28.8,15.5,45,284.1667
17.07.2017-22:00,3.7,0,1011.3,-4.8,13.9,52,23.6667
17.07.2017-23:00,2.5,0,1011.8,-7,13.6,53,0
18.07.2017-00:00,1.3,0,1012.4,-8.2,12.2,60,0
18.07.2017-01:00,0.8,0,1012.7,-8.1,11.1,66,0
18.07.2017-02:00,1,0,1013,-8.2,10,73,0
18.07.2017-03:00,0.9,0,1013.4,-8.2,9.2,77,0
18.07.2017-04:00,0.6,0,1013.7,-3.3,8.9,80,0
18.07.2017-05:00,0.9,10,1014.1,24.5,9.5,78,0
18.07.2017-06:00,1.9,60,1014.1,157.8,13.2,62,0
18.07.2017-07:00,3.1,60,1014,285.8,15.3,54,130.6667
18.07.2017-08:00,2.6,60,1014.3,419,16.7,53,275.8334
18.07.2017-09:00,3.1,60,1014.5,539.6,18.4,44,1079.8334
18.07.2017-10:00,4,60,1014.6,650.3,19.7,41,2930.5001
18.07.2017-11:00,4.5,60,1014.7,758,20.8,40,4677.8334
18.07.2017-12:00,2.1,54,1014.6,793.3,21.8,34,6054
18.07.2017-13:00,1.4,41,1014.6,723.9,20.8,35,5305.8331
18.07.2017-14:00,1.2,2,1014.7,249.2,21,38,5387
18.07.2017-15:00,2,2,1014.6,205.3,20.9,39,2539.1665
18.07.2017-16:00,1.5,12,1014.3,302.8,21.6,36,4596.6666
18.07.2017-17:00,0.9,17,1014.2,305.7,22.6,36,3842.6666
18.07.2017-18:00,2.4,13,1014.5,228,20.7,41,1570
18.07.2017-19:00,2.3,12,1014.8,125.2,20.2,45,1598.8333
18.07.2017-20:00,2.4,38,1015.1,102.8,19.4,52,523.6666
18.07.2017-21:00,2,17,1015.7,25.3,17.9,56,284.6667
18.07.2017-22:00,2.4,0,1016.1,-5.6,15.7,70,25
18.07.2017-23:00,3.1,0,1016.5,-8,14.4,73,0
19.07.2017-00:00,3.5,0,1016.9,-7.6,14.3,65,0
19.07.2017-01:00,4.2,0,1017.1,-8,14.7,58,0
19.07.2017-02:00,6.4,0,1017.8,-7.5,14.8,55,0
19.07.2017-03:00,4.7,0,1018.3,-6.9,14.5,54,0
19.07.2017-04:00,4.6,0,1018.6,-2.1,13.8,57,0
19.07.2017-05:00,4.4,0,1018.9,27.6,13.8,58,0
19.07.2017-06:00,3.8,26,1019.5,129.2,14.4,56,45.8333
19.07.2017-07:00,3,30,1019.9,215,14.9,53,451.6667
19.07.2017-08:00,2.1,29,1019.8,246.1,15.9,51,441.8333
19.07.2017-09:00,2.3,60,1019.6,534.3,17.6,54,1423.6667
19.07.2017-10:00,2.4,60,1019.5,573.4,17.7,45,2361.1666
19.07.2017-11:00,1.9,6,1018.9,430.9,18.2,48,3674.1666
19.07.2017-12:00,2.7,8,1018.6,524.4,19.2,48,6079.3332
19.07.2017-13:00,1.7,17,1018.1,602.2,21.1,43,5016.6669
19.07.2017-14:00,2.4,60,1017.5,749.6,21.3,45,5383.1666
19.07.2017-15:00,2.3,60,1017,714,21.4,43,5391.3334
19.07.2017-16:00,2,60,1016.4,615.7,21.8,41,2670.3334
19.07.2017-17:00,2.6,60,1016,497.1,21.2,43,4253
19.07.2017-18:00,2.1,60,1015.8,367.7,20.8,44,2648
19.07.2017-19:00,1.7,60,1015.7,236,21,44,2611.6666
19.07.2017-20:00,1.1,60,1015.6,119.7,19,51,1326.3333
19.07.2017-21:00,1.3,39,1015.8,27,16.5,64,379.4999
19.07.2017-22:00,2.9,0,1015.8,-6.4,14.6,73,71.6667
19.07.2017-23:00,1.6,0,1015.8,-7.7,13.7,78,0
20.07.2017-00:00,2.7,0,1015.9,-7.7,13,81,0
20.07.2017-01:00,2.8,0,1015.9,-7.4,12.6,82,0
20.07.2017-02:00,1.7,0,1015.7,-7.3,12.3,84,0
20.07.2017-03:00,2.2,0,1015.2,-8.6,11.9,88,0
20.07.2017-04:00,3,0,1015.3,-3.3,11.4,91,0
20.07.2017-05:00,1.6,10,1014.9,23,12.4,84,0
20.07.2017-06:00,1.6,60,1014.6,143.6,14.4,78,0
20.07.2017-07:00,1,60,1014.4,268.2,17.7,63,138.4167
20.07.2017-08:00,0.9,60,1014.2,401,19.2,55,291.6666
20.07.2017-09:00,2.1,60,1014.1,526.3,20.2,49,984.6667
20.07.2017-10:00,2.1,60,1013.7,637.2,21.5,48,2975.6666
20.07.2017-11:00,2.4,60,1013.3,723.1,23.1,42,4543.3334
20.07.2017-12:00,1.8,60,1012.9,777.4,24.2,36,5836
20.07.2017-13:00,3.1,60,1012.4,790,23.8,38,6987.3332
20.07.2017-14:00,2.4,60,1011.8,765.1,25,39,5354.3333
20.07.2017-15:00,3.1,60,1011.4,706.6,25.7,36,6906.8334
20.07.2017-16:00,3,60,1011,615.9,24.9,35,6367.3332
20.07.2017-17:00,2.8,60,1010.7,500.2,25,34,5149.1665
20.07.2017-18:00,2.3,60,1010.5,372.3,24.2,36,3218.5
20.07.2017-19:00,2.1,60,1010.5,218.4,23.5,37,2733.8333
20.07.2017-20:00,1.9,60,1010.7,130.6,22.3,42,1299.3333
20.07.2017-21:00,0.4,38,1011,28.9,20.8,52,294.1667
20.07.2017-22:00,1.9,0,1011.4,-6.6,20.6,41,40
20.07.2017-23:00,1.4,0,1011.8,-9.1,18.9,44,0
21.07.2017-00:00,1.7,0,1012.3,-9.3,16.1,61,0
21.07.2017-01:00,2.7,0,1012.6,-8.2,15.2,62,0
21.07.2017-02:00,2.9,0,1012.7,-7.3,15.4,58,0
21.07.2017-03:00,3.4,0,1012.6,-7.5,14.8,61,0
21.07.2017-04:00,2.6,0,1012.8,-0.3,14.1,65,0
21.07.2017-05:00,2.9,10,1013,36.6,14.8,65,0
21.07.2017-06:00,2.1,33,1013.2,153.3,17.2,61,185
21.07.2017-07:00,2,20,1013.4,219.4,18,57,571.5
21.07.2017-08:00,1.8,0,1014.1,183.3,17.9,59,1289.1667
21.07.2017-09:00,1.8,0,1014.7,190.7,18.3,60,2190.1667
21.07.2017-10:00,1.9,0,1015.2,224.2,19,61,2736
21.07.2017-11:00,1.8,0,1015.6,259.7,19.3,64,2266.3333
21.07.2017-12:00,2,0,1016.1,310.5,19.7,61,2828.1666
21.07.2017-13:00,3.3,0,1016.4,272.9,19.8,61,2812.6666
21.07.2017-14:00,5.5,0,1017,358.8,18.8,57,2968.1667
21.07.2017-15:00,4.1,0,1017.4,204.8,18.1,59,2519.6667
21.07.2017-16:00,4.1,0,1017.4,243.2,18.3,58,2713.8333
21.07.2017-17:00,2.6,0,1017.6,228.9,18.1,64,2746.5
21.07.2017-18:00,2.8,0,1017.7,119.1,17.4,65,1793.6666
21.07.2017-19:00,1.3,0,1018.2,86.8,16.9,69,1422
21.07.2017-20:00,2.2,0,1018.4,46.8,16.5,69,739.3333
21.07.2017-21:00,1.8,0,1018.8,4.4,16,70,240.3332
21.07.2017-22:00,3,0,1018.8,-5.1,16,69,6.3333
21.07.2017-23:00,1.3,0,1018.7,-6,15.6,69,0
22.07.2017-00:00,1.4,0,1018.9,-7.7,15.2,76,0
22.07.2017-01:00,0.4,0,1019.2,-7.4,14.9,79,0
22.07.2017-02:00,1.5,0,1019.4,-7.2,14.7,80,0
22.07.2017-03:00,1.5,0,1019.4,-7.7,14.6,82,0
22.07.2017-04:00,1.9,0,1019.5,-4.3,14.5,83,0
22.07.2017-05:00,1.4,0,1019.8,9,14.7,83,0
22.07.2017-06:00,0.8,0,1020.1,28.9,15.1,84,26.75
22.07.2017-07:00,0.7,0,1019.9,124.8,16.5,74,277.6666
22.07.2017-08:00,1.5,20,1020.2,257.9,17.6,72,796.6667
22.07.2017-09:00,0.9,20,1020.1,301.8,18.7,62,1264.0001
22.07.2017-10:00,1.8,60,1020.1,674.9,20.8,56,3494.8333
22.07.2017-11:00,2.8,60,1019.9,733.8,21.4,49,2525
22.07.2017-12:00,3.6,60,1019.8,747.4,22,48,3216.5
22.07.2017-13:00,2.6,60,1019.5,781.8,23.7,45,2757.5
22.07.2017-14:00,3.5,60,1019.3,722.3,23.6,41,2648.5001
22.07.2017-15:00,3.1,60,1018.9,707.1,23.9,38,6062.3334
22.07.2017-16:00,2.7,60,1018.6,560.2,23.9,39,3309.8334
22.07.2017-17:00,1,60,1018.2,476.6,24,40,2460.9999
22.07.2017-18:00,2,57,1018.2,251.2,22.2,42,2165.6667
22.07.2017-19:00,1.7,60,1018,201.5,22.2,43,2398.8334
22.07.2017-20:00,1.7,45,1018.1,99.7,20.8,48,1131.5
22.07.2017-21:00,1.7,9,1018.5,19.1,18.8,60,388.3334
22.07.2017-22:00,2.4,0,1018.6,-5.8,17,65,33.3333
22.07.2017-23:00,3.4,0,1018.7,-7.6,16.9,70,0
23.07.2017-00:00,0.6,0,1018.8,-7.6,15.5,77,0
23.07.2017-01:00,0.6,0,1018.6,-9.2,15.2,78,0
23.07.2017-02:00,0.7,0,1018.5,-9.2,14.2,84,0
23.07.2017-03:00,1.5,0,1018.4,-8.4,14.4,84,0
23.07.2017-04:00,2.3,0,1018,-2.3,15.2,78,0
23.07.2017-05:00,0.8,0,1018,12,14.2,86,0
23.07.2017-06:00,2.8,37,1017.5,122.4,17.5,65,0
23.07.2017-07:00,1.7,18,1017.6,162.6,18.5,64,104.1667
23.07.2017-08:00,1.8,58,1017.3,311.7,20.4,57,542.6667
23.07.2017-09:00,1.5,60,1017.2,515.2,22.3,51,1104.3333
23.07.2017-10:00,1.4,60,1016.7,680.9,23.5,44,2572.6667
23.07.2017-11:00,2.5,60,1016.5,668.5,23.9,41,3765.6668
23.07.2017-12:00,2.1,60,1015.9,758.3,25.2,39,5874.1666
23.07.2017-13:00,1.3,60,1015.4,784.1,26.2,37,6740.8334
23.07.2017-14:00,1.1,57,1014.7,749.3,27.1,33,6969.1666
23.07.2017-15:00,3.7,7,1014.6,190.8,23.4,40,3886.6667
23.07.2017-16:00,2.2,0,1014.2,38.8,22.7,42,973.6666
23.07.2017-17:00,2.5,0,1013.9,51.8,22.6,46,630.4999
23.07.2017-18:00,2.8,0,1013.7,81.4,22.6,46,751.9999
23.07.2017-19:00,2.8,0,1013.8,53.4,21.9,52,706.1667
23.07.2017-20:00,3.5,0,1014.1,19.2,20.6,54,363
23.07.2017-21:00,4.4,0,1014.3,-0.2,19.9,60,60.6667
23.07.2017-22:00,3,0,1014.8,-6.6,18.9,66,0
23.07.2017-23:00,3.6,0,1014.9,-7.3,17.4,79,0
24.07.2017-00:00,4.3,0,1014.7,-6.2,17.4,76,0
24.07.2017-01:00,1.8,0,1014.6,-6.2,17.4,75,0
24.07.2017-02:00,4.1,0,1014.9,-6.4,17.1,77,0
24.07.2017-03:00,4.6,0,1014.8,-6.6,16.6,79,0
24.07.2017-04:00,3.8,0,1014.7,-5.2,16,83,0
24.07.2017-05:00,3.5,0,1015.2,3.7,15.4,84,0
24.07.2017-06:00,3.4,0,1015.5,25.2,15.1,79,0
24.07.2017-07:00,3.9,0,1015.5,93.1,15.1,75,257.8334
24.07.2017-08:00,3.8,0,1015.6,159.4,15.4,72,756
24.07.2017-09:00,3,0,1015.7,241.4,16.7,65,1792
24.07.2017-10:00,4.6,0,1015.9,266.4,17,64,1782.8334
24.07.2017-11:00,4.1,0,1015.9,319.2,17.1,65,2275.5
24.07.2017-12:00,3.2,0,1015.8,311.5,18,64,2838.8333
24.07.2017-13:00,2.8,0,1015.6,302,18.6,61,3228.0001
24.07.2017-14:00,2.9,37,1015.1,532.1,20.1,55,4745.3334
24.07.2017-15:00,3.8,58,1014.8,699,20.7,52,6038.3332
24.07.2017-16:00,3.1,12,1014.6,343.2,20.4,49,5188.6666
24.07.2017-17:00,3.3,10,1014.3,225,20.2,48,3313.5001
24.07.2017-18:00,2.9,0,1014,156.2,20,50,1301.6667
24.07.2017-19:00,3.1,0,1014.1,73.6,19.5,54,794.6667
24.07.2017-20:00,2.8,0,1014.2,30,18.9,57,500.6667
24.07.2017-21:00,3.5,0,1014.5,2.2,18.2,61,122
24.07.2017-22:00,4,0,1014.6,-6.5,17.8,64,0
24.07.2017-23:00,4.3,0,1014.6,-6.9,17.4,64,0
25.07.2017-00:00,3.1,0,1014.4,-7.1,17,64,0
25.07.2017-01:00,3.2,0,1014.4,-7.5,16.7,65,0
25.07.2017-02:00,3.5,0,1014.5,-8,16.2,68,0
25.07.2017-03:00,4.2,0,1014.4,-7.5,15.9,68,0
25.07.2017-04:00,3.6,0,1014.1,-3.6,15.9,68,0
25.07.2017-05:00,1.8,5,1014.1,15.4,15.5,71,0
25.07.2017-06:00,1,49,1014.2,105.4,15.3,78,0
25.07.2017-07:00,0.4,60,1013.8,246.7,19.5,59,99.5
25.07.2017-08:00,2.9,60,1013.6,379.7,19.9,54,434.8333
25.07.2017-09:00,2.9,60,1013.3,508.8,20.8,53,825.6667
25.07.2017-10:00,3.7,60,1012.8,633.5,21.6,51,2716.0001
25.07.2017-11:00,3.4,60,1012.5,672.8,22.7,48,4331.3334
25.07.2017-12:00,4,44,1012.1,679.2,22.6,47,5538.5
25.07.2017-13:00,4.4,43,1011.7,685.8,23.6,42,5448
25.07.2017-14:00,4.2,24,1011.5,395.7,22.4,49,5696.6666
25.07.2017-15:00,3,17,1011.3,297.3,22,54,3567.5
25.07.2017-16:00,3.5,8,1011.1,166.8,22.5,51,2090.6667
25.07.2017-17:00,3.5,60,1010.8,431.1,22.6,49,1539.8334
25.07.2017-18:00,3.1,59,1010.6,319.7,22.4,48,1438.8332
